ann_term	sum	annotation
PF00252	237	Ribosomal protein L16p/L10e
PF00253	201	Ribosomal protein S14p/S29e
PF00254	1658	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	350	Glutathione peroxidase
PF00257	380	Dehydrin
PF00258	248	Flavodoxin
PF00261	0	Tropomyosin
PF00262	454	Calreticulin family
PF00263	2	Bacterial type II and III secretion system protein
PF00264	261	Common central domain of tyrosinase
PF00265	116	Thymidine kinase
PF00266	662	Aminotransferase class-V
PF00267	1	Gram-negative porin
PF00268	134	Ribonucleotide reductase, small chain
PF00270	4942	DEAD/DEAH box helicase
PF00271	7059	Helicase conserved C-terminal domain
PF00274	370	Fructose-bisphosphate aldolase class-I
PF00275	121	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	272	Ribosomal protein L23
PF00278	136	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	389	Potato inhibitor I family
PF00281	196	Ribosomal protein L5
PF00282	783	Pyridoxal-dependent decarboxylase conserved domain
PF00283	171	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	90	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	255	Citrate synthase, C-terminal domain
PF00288	607	GHMP kinases N terminal domain
PF00289	180	Biotin carboxylase, N-terminal domain
PF00290	113	Tryptophan synthase alpha chain
PF00291	1030	Pyridoxal-phosphate dependent enzyme
PF00293	1500	NUDIX domain
PF00294	1096	pfkB family carbohydrate kinase
PF00295	3128	Glycosyl hydrolases family 28
PF00296	2	Luciferase-like monooxygenase
PF00297	264	Ribosomal protein L3
PF00298	268	Ribosomal protein L11, RNA binding domain
PF00300	1230	Histidine phosphatase superfamily (branch 1)
PF00301	92	Rubredoxin
PF00303	96	Thymidylate synthase
PF00304	456	Gamma-thionin family
PF00305	895	Lipoxygenase
PF00306	153	ATP synthase alpha/beta chain, C terminal domain
PF00307	1256	Calponin homology (CH) domain
PF00308	1	Bacterial dnaA  protein
PF00310	142	Glutamine amidotransferases class-II
PF00311	306	Phosphoenolpyruvate carboxylase
PF00312	241	Ribosomal protein S15
PF00313	186	'Cold-shock' DNA-binding domain
PF00314	1621	Thaumatin family
PF00316	288	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	102	Ribonucleotide reductase, all-alpha domain
PF00318	415	Ribosomal protein S2
PF00319	4183	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	1378	GATA zinc finger
PF00321	71	Plant thionin
PF00324	82	Amino acid permease
PF00326	740	Prolyl oligopeptidase family
PF00327	272	Ribosomal protein L30p/L7e
PF00328	155	Histidine phosphatase superfamily (branch 2)
PF00329	118	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	293	Aconitase family (aconitate hydratase)
PF00331	430	Glycosyl hydrolase family 10
PF00332	2706	Glycosyl hydrolases family 17
PF00333	230	Ribosomal protein S5, N-terminal domain
PF00334	288	Nucleoside diphosphate kinase
PF00335	792	Tetraspanin family
PF00337	346	Galactoside-binding lectin
PF00338	217	Ribosomal protein S10p/S20e
PF00342	225	Phosphoglucose isomerase
PF00343	267	Carbohydrate phosphorylase
PF00344	249	SecY translocase
PF00345	0	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00346	145	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	432	Ribosomal protein L6
PF00348	590	Polyprenyl synthetase
PF00349	328	Hexokinase
PF00350	970	Dynamin family
PF00352	293	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	5	RTX calcium-binding nonapeptide repeat (4 copies)
PF00355	499	Rieske [2Fe-2S] domain
PF00356	0	Bacterial regulatory proteins, lacI family
PF00359	1	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	226	Phytochrome region
PF00361	638	Proton-conducting membrane transporter
PF00364	767	Biotin-requiring enzyme
PF00365	590	Phosphofructokinase
PF00366	265	Ribosomal protein S17
PF00367	1	phosphotransferase system, EIIB
PF00368	191	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	227	FGGY family of carbohydrate kinases, N-terminal domain
PF00373	61	FERM central domain
PF00375	1	Sodium:dicarboxylate symporter family
PF00378	582	Enoyl-CoA hydratase/isomerase
PF00380	248	Ribosomal protein S9/S16
PF00382	526	Transcription factor TFIIB repeat
PF00383	532	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	64	Molybdopterin oxidoreductase
PF00385	675	Chromo (CHRromatin Organisation MOdifier) domain
PF00387	291	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	369	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	709	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	355	Malic enzyme, N-terminal domain
PF00391	69	PEP-utilising enzyme, mobile domain
PF00392	3	Bacterial regulatory proteins, gntR family
PF00393	165	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	2492	Multicopper oxidase
PF00395	29	S-layer homology domain
PF00396	243	Granulin
PF00397	704	WW domain
PF00398	191	Ribosomal RNA adenine dimethylase
PF00400	32601	WD domain, G-beta repeat
PF00401	111	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00403	3756	Heavy-metal-associated domain
PF00405	13	Transferrin
PF00406	568	Adenylate kinase
PF00407	1790	Pathogenesis-related protein Bet v 1 family
PF00408	178	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	280	Ribosomal protein S8
PF00411	305	Ribosomal protein S11
PF00412	944	LIM domain
PF00413	435	Matrixin
PF00415	6111	Regulator of chromosome condensation (RCC1) repeat
PF00416	245	Ribosomal protein S13/S18
PF00419	0	Fimbrial protein
PF00420	65	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421	375	Photosystem II protein
PF00425	263	chorismate binding enzyme
PF00428	532	60s Acidic ribosomal protein
PF00430	145	ATP synthase B/B' CF(0)
PF00431	9	CUB domain
PF00432	905	Prenyltransferase and squalene oxidase repeat
PF00433	320	Protein kinase C terminal domain
PF00436	204	Single-strand binding protein family
PF00437	5	Type II/IV secretion system protein
PF00438	241	S-adenosylmethionine synthetase, N-terminal domain
PF00439	1326	Bromodomain
PF00440	4	Bacterial regulatory proteins, tetR family
PF00441	325	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	1673	Ubiquitin carboxyl-terminal hydrolase
PF00444	71	Ribosomal protein L36
PF00445	471	Ribonuclease T2 family
PF00447	1246	HSF-type DNA-binding
PF00448	334	SRP54-type protein, GTPase domain
PF00449	55	Urease alpha-subunit, N-terminal domain
PF00450	2779	Serine carboxypeptidase
PF00453	119	Ribosomal protein L20
PF00454	878	Phosphatidylinositol 3- and 4-kinase
PF00455	0	DeoR C terminal sensor domain
PF00456	141	Transketolase, thiamine diphosphate binding domain
PF00458	39	WHEP-TRS domain
PF00459	427	Inositol monophosphatase family
PF00460	4	Flagella basal body rod protein
PF00462	2341	Glutaredoxin
PF00463	61	Isocitrate lyase family
PF00464	391	Serine hydroxymethyltransferase
PF00465	1	Iron-containing alcohol dehydrogenase
PF00466	258	Ribosomal protein L10
PF00467	548	KOW motif
PF00468	127	Ribosomal protein L34
PF00471	113	Ribosomal protein L33
PF00472	390	RF-1 domain
PF00474	59	Sodium:solute symporter family
PF00475	70	Imidazoleglycerol-phosphate dehydratase
PF00476	141	DNA polymerase family A
PF00477	146	Small hydrophilic plant seed protein
PF00478	79	IMP dehydrogenase / GMP reductase domain
PF00479	275	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	0	ROK family
PF00481	4157	Protein phosphatase 2C
PF00482	1	Type II secretion system (T2SS), protein F
PF00483	650	Nucleotidyl transferase
PF00484	277	Carbonic anhydrase
PF00485	534	Phosphoribulokinase / Uridine kinase family
PF00486	4	Transcriptional regulatory protein, C terminal
PF00487	799	Fatty acid desaturase
PF00488	495	MutS domain V
PF00490	71	Delta-aminolevulinic acid dehydratase
PF00491	70	Arginase family
PF00493	479	MCM P-loop domain
PF00494	314	Squalene/phytoene synthase
PF00496	1	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	1247	Bacterial extracellular solute-binding proteins, family 3
PF00498	868	FHA domain
PF00499	66	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00500	1	L1 (late) protein
PF00501	2538	AMP-binding enzyme
PF00503	293	G-protein alpha subunit
PF00504	1350	Chlorophyll A-B binding protein
PF00505	804	HMG (high mobility group) box
PF00507	80	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	44	Cytochrome c oxidase subunit III
PF00512	672	His Kinase A (phospho-acceptor) domain
PF00514	6306	Armadillo/beta-catenin-like repeat
PF00515	1411	Tetratricopeptide repeat
PF00519	1	Papillomavirus helicase
PF00520	1716	Ion transport protein
PF00521	152	DNA gyrase/topoisomerase IV, subunit A
PF00524	2	E1 Protein, N terminal domain
PF00528	4	Binding-protein-dependent transport system inner membrane component
PF00529	1	HlyD membrane-fusion protein of T1SS
PF00531	1	Death domain
PF00532	0	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	531	BRCA1 C Terminus (BRCT) domain
PF00534	1592	Glycosyl transferases group 1
PF00535	138	Glycosyl transferase family 2
PF00536	347	SAM domain (Sterile alpha motif)
PF00537	45	Scorpion toxin-like domain
PF00538	679	linker histone H1 and H5 family
PF00542	347	Ribosomal protein L7/L12 C-terminal domain
PF00543	55	Nitrogen regulatory protein P-II
PF00544	958	Pectate lyase
PF00547	54	Urease, gamma subunit
PF00549	212	CoA-ligase
PF00550	467	Phosphopantetheine attachment site
PF00551	202	Formyl transferase
PF00553	2	Cellulose binding domain
PF00557	681	Metallopeptidase family M24
PF00560	13718	Leucine Rich Repeat
PF00561	1815	alpha/beta hydrolase fold
PF00562	456	RNA polymerase Rpb2, domain 6
PF00563	9	EAL domain
PF00564	1763	PB1 domain
PF00565	449	Staphylococcal nuclease homologue
PF00566	1014	Rab-GTPase-TBC domain
PF00567	83	Tudor domain
PF00569	477	Zinc finger, ZZ type
PF00570	274	HRDC domain
PF00571	2687	CBS domain
PF00572	253	Ribosomal protein L13
PF00573	236	Ribosomal protein L4/L1 family
PF00574	672	Clp protease
PF00575	1052	S1 RNA binding domain
PF00576	51	HIUase/Transthyretin family
PF00577	1	Outer membrane usher protein
PF00578	246	AhpC/TSA family
PF00579	287	tRNA synthetases class I (W and Y)
PF00580	163	UvrD/REP helicase N-terminal domain
PF00581	867	Rhodanese-like domain
PF00582	1924	Universal stress protein family
PF00583	1587	Acetyltransferase (GNAT) family
PF00584	160	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	151	C-terminal regulatory domain of Threonine dehydratase
PF00586	88	AIR synthase related protein, N-terminal domain
PF00587	505	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	331	SpoU rRNA Methylase family
PF00589	2	Phage integrase family
PF00590	176	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	75	Glycosyl transferase family, a/b domain
PF00593	8	TonB dependent receptor
PF00595	22	PDZ domain
PF00596	65	Class II Aldolase and Adducin N-terminal domain
PF00598	1	Influenza Matrix protein (M1)
PF00609	352	Diacylglycerol kinase accessory domain
PF00610	113	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00612	5386	IQ calmodulin-binding motif
PF00613	120	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	1021	Phospholipase D Active site motif
PF00615	45	Regulator of G protein signaling domain
PF00619	1	Caspase recruitment domain
PF00620	474	RhoGAP domain
PF00622	235	SPRY domain
PF00623	520	RNA polymerase Rpb1, domain 2
PF00625	147	Guanylate kinase
PF00626	1432	Gelsolin repeat
PF00627	1163	UBA/TS-N domain
PF00628	2595	PHD-finger
PF00630	159	Filamin/ABP280 repeat
PF00631	185	GGL domain
PF00632	517	HECT-domain (ubiquitin-transferase)
PF00633	97	Helix-hairpin-helix motif
PF00634	137	BRCA2 repeat
PF00635	655	MSP (Major sperm protein) domain
PF00636	785	Ribonuclease III domain
PF00637	1073	Region in Clathrin and VPS
PF00638	225	RanBP1 domain
PF00639	77	PPIC-type PPIASE domain
PF00641	1668	Zn-finger in Ran binding protein and others
PF00642	4378	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00643	1339	B-box zinc finger
PF00644	278	Poly(ADP-ribose) polymerase catalytic domain
PF00645	192	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00646	12287	F-box domain
PF00647	110	Elongation factor 1 gamma, conserved domain
PF00648	97	Calpain family cysteine protease
PF00650	1571	CRAL/TRIO domain
PF00651	3307	BTB/POZ domain
PF00652	81	Ricin-type beta-trefoil lectin domain
PF00654	436	Voltage gated chloride channel
PF00656	462	Caspase domain
PF00657	5292	GDSL-like Lipase/Acylhydrolase
PF00658	314	Poly-adenylate binding protein, unique domain
PF00662	60	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00664	4476	ABC transporter transmembrane region
PF00665	1766	Integrase core domain
PF00667	198	FAD binding domain
PF00668	1	Condensation domain
PF00669	2	Bacterial flagellin N-terminal helical region
PF00670	115	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00672	6	HAMP domain
PF00673	195	ribosomal L5P family C-terminus
PF00675	570	Insulinase (Peptidase family M16)
PF00676	400	Dehydrogenase E1 component
PF00677	133	Lumazine binding domain
PF00679	586	Elongation factor G C-terminus
PF00680	1	Viral RNA-dependent RNA polymerase
PF00682	248	HMGL-like
PF00684	489	DnaJ central domain
PF00685	1012	Sulfotransferase domain
PF00686	316	Starch binding domain
PF00687	347	Ribosomal protein L1p/L10e family
PF00689	1006	Cation transporting ATPase, C-terminus
PF00690	1411	Cation transporter/ATPase, N-terminus
PF00691	2	OmpA family
PF00692	85	dUTPase
PF00694	237	Aconitase C-terminal domain
PF00696	657	Amino acid kinase family
PF00697	74	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	55	Acyl transferase domain
PF00699	56	Urease beta subunit
PF00700	0	Bacterial flagellin C-terminal helical region
PF00701	89	Dihydrodipicolinate synthetase family
PF00702	1972	haloacid dehalogenase-like hydrolase
PF00703	126	Glycosyl hydrolases family 2
PF00704	1072	Glycosyl hydrolases family 18
PF00705	112	Proliferating cell nuclear antigen, N-terminal domain
PF00707	73	Translation initiation factor IF-3, C-terminal domain
PF00708	59	Acylphosphatase
PF00709	104	Adenylosuccinate synthetase
PF00710	1	Asparaginase, N-terminal
PF00712	1	DNA polymerase III beta subunit, N-terminal domain
PF00717	123	Peptidase S24-like
PF00719	335	Inorganic pyrophosphatase
PF00722	1783	Glycosyl hydrolases family 16
PF00724	515	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	245	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00727	1	Interleukin 4
PF00728	219	Glycosyl hydrolase family 20, catalytic domain
PF00730	363	HhH-GPD superfamily base excision DNA repair protein
PF00731	79	AIR carboxylase
PF00732	754	GMC oxidoreductase
PF00733	211	Asparagine synthase
PF00736	189	EF-1 guanine nucleotide exchange domain
PF00737	51	Photosystem II 10 kDa phosphoprotein
PF00742	149	Homoserine dehydrogenase
PF00743	1331	Flavin-binding monooxygenase-like
PF00745	121	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00748	1	Calpain inhibitor
PF00749	225	tRNA synthetases class I (E and Q), catalytic domain
PF00750	100	tRNA synthetases class I (R)
PF00752	353	XPG N-terminal domain
PF00753	355	Metallo-beta-lactamase superfamily
PF00754	55	F5/8 type C domain
PF00756	63	Putative esterase
PF00759	1280	Glycosyl hydrolase family 9
PF00762	139	Ferrochelatase
PF00763	226	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	90	Arginosuccinate synthase
PF00766	60	Electron transfer flavoprotein FAD-binding domain
PF00768	1	D-alanyl-D-alanine carboxypeptidase
PF00771	1	FHIPEP family
PF00772	3	DnaB-like helicase N terminal domain
PF00773	170	RNB domain
PF00777	246	Glycosyltransferase family 29 (sialyltransferase)
PF00780	110	CNH domain
PF00781	613	Diacylglycerol kinase catalytic domain
PF00782	956	Dual specificity phosphatase, catalytic domain
PF00784	61	MyTH4 domain
PF00786	574	P21-Rho-binding domain
PF00787	433	PX domain
PF00789	570	UBX domain
PF00790	442	VHS domain
PF00792	65	Phosphoinositide 3-kinase C2
PF00793	70	DAHP synthetase I family
PF00795	452	Carbon-nitrogen hydrolase
PF00796	34	Photosystem I reaction centre subunit VIII
PF00797	0	N-acetyltransferase
PF00799	2	Geminivirus Rep catalytic domain
PF00800	297	Prephenate dehydratase
PF00804	505	Syntaxin
PF00805	388	Pentapeptide repeats (8 copies)
PF00806	4839	Pumilio-family RNA binding repeat
PF00808	1352	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809	68	Pterin binding enzyme
PF00810	363	ER lumen protein retaining receptor
PF00813	1	FliP family
PF00814	135	tRNA N6-adenosine threonylcarbamoyltransferase
PF00815	78	Histidinol dehydrogenase
PF00817	180	impB/mucB/samB family
PF00821	0	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00827	148	Ribosomal L15
PF00828	263	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	122	Ribosomal prokaryotic L21 protein
PF00830	125	Ribosomal L28 family
PF00831	202	Ribosomal L29 protein
PF00832	117	Ribosomal L39 protein
PF00833	128	Ribosomal S17
PF00834	128	Ribulose-phosphate 3 epimerase family
PF00838	116	Translationally controlled tumour protein
PF00842	1	Alanine racemase, C-terminal domain
PF00844	1	Geminivirus coat protein/nuclear export factor BR1 family
PF00845	0	Geminivirus BL1 movement protein
PF00847	8531	AP2 domain
PF00848	66	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	463	RNA pseudouridylate synthase
PF00850	550	Histone deacetylase domain
PF00852	133	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00854	3635	POT family
PF00855	829	PWWP domain
PF00856	2278	SET domain
PF00857	216	Isochorismatase family
PF00860	824	Permease family
PF00861	441	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00862	508	Sucrose synthase
PF00867	346	XPG I-region
PF00871	2	Acetokinase family
PF00872	31	Transposase, Mutator family
PF00873	6	AcrB/AcrD/AcrF family
PF00875	402	DNA photolyase
PF00877	0	NlpC/P60 family
PF00881	42	Nitroreductase family
PF00883	94	Cytosol aminopeptidase family, catalytic domain
PF00884	19	Sulfatase
PF00885	74	6,7-dimethyl-8-ribityllumazine synthase
PF00886	103	Ribosomal protein S16
PF00887	278	Acyl CoA binding protein
PF00888	559	Cullin family
PF00889	184	Elongation factor TS
PF00890	150	FAD binding domain
PF00891	1873	O-methyltransferase domain
PF00892	4630	EamA-like transporter family
PF00899	718	ThiF family
PF00900	164	Ribosomal family S4e
PF00902	81	Sec-independent protein translocase protein (TatC)
PF00903	878	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00905	4	Penicillin binding protein transpeptidase domain
PF00907	2	T-box
PF00909	544	Ammonium Transporter Family
PF00912	26	Transglycosylase
PF00916	717	Sulfate permease family
PF00917	1896	MATH domain
PF00919	108	Uncharacterized protein family UPF0004
PF00920	71	Dehydratase family
PF00923	125	Transaldolase/Fructose-6-phosphate aldolase
PF00924	573	Mechanosensitive ion channel
PF00925	165	GTP cyclohydrolase II
PF00926	169	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00928	465	Adaptor complexes medium subunit family
PF00929	729	Exonuclease
PF00930	64	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00931	17121	NB-ARC domain
PF00933	980	Glycosyl hydrolase family 3 N terminal domain
PF00935	112	Ribosomal protein L44
PF00939	228	Sodium:sulfate symporter transmembrane region
PF00940	182	DNA-dependent RNA polymerase
PF00941	225	FAD binding domain in molybdopterin dehydrogenase
PF00946	2	Mononegavirales RNA dependent RNA polymerase
PF00949	1	Peptidase S7, Flavivirus NS3 serine protease
PF00950	2	ABC 3 transport family
PF00953	135	Glycosyl transferase family 4
