ann_term	sum	annotation
PF00215	231	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	321	Bacterial DNA-binding protein
PF00218	77	Indole-3-glycerol phosphate synthase
PF00221	3	Aromatic amino acid lyase
PF00224	160	Pyruvate kinase, barrel domain
PF00226	248	DnaJ domain
PF00227	80	Proteasome subunit
PF00230	166	Major intrinsic protein
PF00231	80	ATP synthase
PF00232	251	Glycosyl hydrolase family 1
PF00237	80	Ribosomal protein L22p/L17e
PF00238	80	Ribosomal protein L14p/L23e
PF00239	337	Resolvase, N terminal domain
PF00245	79	Alkaline phosphatase
PF00246	78	Zinc carboxypeptidase
PF00248	916	Aldo/keto reductase family
PF00251	61	Glycosyl hydrolases family 32 N-terminal domain
PF00252	80	Ribosomal protein L16p/L10e
PF00253	80	Ribosomal protein S14p/S29e
PF00254	400	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	80	Glutathione peroxidase
PF00258	477	Flavodoxin
PF00263	234	Bacterial type II and III secretion system protein
PF00265	80	Thymidine kinase
PF00266	319	Aminotransferase class-V
PF00267	505	Gram-negative porin
PF00268	161	Ribonucleotide reductase, small chain
PF00270	1073	DEAD/DEAH box helicase
PF00271	1330	Helicase conserved C-terminal domain
PF00275	161	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	80	Ribosomal protein L23
PF00278	80	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00281	80	Ribosomal protein L5
PF00282	162	Pyridoxal-dependent decarboxylase conserved domain
PF00285	160	Citrate synthase, C-terminal domain
PF00288	241	GHMP kinases N terminal domain
PF00289	82	Biotin carboxylase, N-terminal domain
PF00290	80	Tryptophan synthase alpha chain
PF00291	715	Pyridoxal-phosphate dependent enzyme
PF00293	1131	NUDIX domain
PF00294	1125	pfkB family carbohydrate kinase
PF00296	237	Luciferase-like monooxygenase
PF00297	80	Ribosomal protein L3
PF00298	79	Ribosomal protein L11, RNA binding domain
PF00300	415	Histidine phosphatase superfamily (branch 1)
PF00301	79	Rubredoxin
PF00302	8	Chloramphenicol acetyltransferase
PF00303	83	Thymidylate synthase
PF00306	80	ATP synthase alpha/beta chain, C terminal domain
PF00308	159	Bacterial dnaA  protein
PF00309	81	Sigma-54 factor, Activator interacting domain (AID)
PF00310	78	Glutamine amidotransferases class-II
PF00311	81	Phosphoenolpyruvate carboxylase
PF00312	81	Ribosomal protein S15
PF00313	568	'Cold-shock' DNA-binding domain
PF00316	80	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	161	Ribonucleotide reductase, all-alpha domain
PF00318	80	Ribosomal protein S2
PF00324	697	Amino acid permease
PF00325	80	Bacterial regulatory proteins, crp family
PF00326	169	Prolyl oligopeptidase family
PF00327	80	Ribosomal protein L30p/L7e
PF00328	165	Histidine phosphatase superfamily (branch 2)
PF00329	212	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	320	Aconitase family (aconitate hydratase)
PF00333	80	Ribosomal protein S5, N-terminal domain
PF00334	80	Nucleoside diphosphate kinase
PF00338	80	Ribosomal protein S10p/S20e
PF00342	80	Phosphoglucose isomerase
PF00343	161	Carbohydrate phosphorylase
PF00344	80	SecY translocase
PF00345	916	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00346	345	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	160	Ribosomal protein L6
PF00348	161	Polyprenyl synthetase
PF00350	135	Dynamin family
PF00353	108	Haemolysin-type calcium-binding repeat (2 copies)
PF00355	161	Rieske [2Fe-2S] domain
PF00356	1169	Bacterial regulatory proteins, lacI family
PF00358	220	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF00359	890	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00361	475	Proton-conducting membrane transporter
PF00364	419	Biotin-requiring enzyme
PF00365	80	Phosphofructokinase
PF00366	80	Ribosomal protein S17
PF00367	662	phosphotransferase system, EIIB
PF00370	660	FGGY family of carbohydrate kinases, N-terminal domain
PF00374	293	Nickel-dependent hydrogenase
PF00375	334	Sodium:dicarboxylate symporter family
PF00376	96	MerR family regulatory protein
PF00378	515	Enoyl-CoA hydratase/isomerase
PF00380	81	Ribosomal protein S9/S16
PF00381	519	PTS HPr component phosphorylation site
PF00383	165	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	1181	Molybdopterin oxidoreductase
PF00389	362	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	162	Malic enzyme, N-terminal domain
PF00391	483	PEP-utilising enzyme, mobile domain
PF00392	1654	Bacterial regulatory proteins, gntR family
PF00393	80	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	175	Multicopper oxidase
PF00398	84	Ribosomal RNA adenine dimethylase
PF00401	81	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00403	264	Heavy-metal-associated domain
PF00406	80	Adenylate kinase
PF00408	269	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	80	Ribosomal protein S8
PF00411	80	Ribosomal protein S11
PF00416	80	Ribosomal protein S13/S18
PF00419	2283	Fimbrial protein
PF00420	133	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00425	365	chorismate binding enzyme
PF00430	80	ATP synthase B/B' CF(0)
PF00436	268	Single-strand binding protein family
PF00437	321	Type II/IV secretion system protein
PF00438	89	S-adenosylmethionine synthetase, N-terminal domain
PF00440	1127	Bacterial regulatory proteins, tetR family
PF00441	326	Acyl-CoA dehydrogenase, C-terminal domain
PF00444	153	Ribosomal protein L36
PF00445	81	Ribonuclease T2 family
PF00448	159	SRP54-type protein, GTPase domain
PF00449	12	Urease alpha-subunit, N-terminal domain
PF00453	80	Ribosomal protein L20
PF00455	963	DeoR C terminal sensor domain
PF00456	276	Transketolase, thiamine diphosphate binding domain
PF00459	160	Inositol monophosphatase family
PF00460	538	Flagella basal body rod protein
PF00462	320	Glutaredoxin
PF00463	166	Isocitrate lyase family
PF00464	80	Serine hydroxymethyltransferase
PF00465	624	Iron-containing alcohol dehydrogenase
PF00466	79	Ribosomal protein L10
PF00467	159	KOW motif
PF00468	80	Ribosomal protein L34
PF00471	80	Ribosomal protein L33
PF00472	254	RF-1 domain
PF00474	310	Sodium:solute symporter family
PF00475	80	Imidazoleglycerol-phosphate dehydratase
PF00476	81	DNA polymerase family A
PF00478	160	IMP dehydrogenase / GMP reductase domain
PF00479	80	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	568	ROK family
PF00482	404	Type II secretion system (T2SS), protein F
PF00483	459	Nucleotidyl transferase
PF00484	135	Carbonic anhydrase
PF00485	239	Phosphoribulokinase / Uridine kinase family
PF00486	1382	Transcriptional regulatory protein, C terminal
PF00487	15	Fatty acid desaturase
PF00488	80	MutS domain V
PF00490	80	Delta-aminolevulinic acid dehydratase
PF00491	82	Arginase family
PF00496	845	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	873	Bacterial extracellular solute-binding proteins, family 3
PF00498	2	FHA domain
PF00499	79	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00501	955	AMP-binding enzyme
PF00507	79	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	80	Cytochrome c oxidase subunit III
PF00512	1613	His Kinase A (phospho-acceptor) domain
PF00521	161	DNA gyrase/topoisomerase IV, subunit A
PF00528	4094	Binding-protein-dependent transport system inner membrane component
PF00529	758	HlyD membrane-fusion protein of T1SS
PF00532	519	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	80	BRCA1 C Terminus (BRCT) domain
PF00534	653	Glycosyl transferases group 1
PF00535	802	Glycosyl transferase family 2
PF00542	79	Ribosomal protein L7/L12 C-terminal domain
PF00543	159	Nitrogen regulatory protein P-II
PF00547	12	Urease, gamma subunit
PF00549	399	CoA-ligase
PF00550	610	Phosphopantetheine attachment site
PF00551	319	Formyl transferase
PF00557	321	Metallopeptidase family M24
PF00561	357	alpha/beta hydrolase fold
PF00562	80	RNA polymerase Rpb2, domain 6
PF00563	1345	EAL domain
PF00565	54	Staphylococcal nuclease homologue
PF00570	159	HRDC domain
PF00571	1072	CBS domain
PF00572	81	Ribosomal protein L13
PF00573	80	Ribosomal protein L4/L1 family
PF00574	131	Clp protease
PF00575	1048	S1 RNA binding domain
PF00576	83	HIUase/Transthyretin family
PF00577	794	Outer membrane usher protein
PF00578	162	AhpC/TSA family
PF00579	158	tRNA synthetases class I (W and Y)
PF00580	324	UvrD/REP helicase N-terminal domain
PF00581	748	Rhodanese-like domain
PF00582	562	Universal stress protein family
PF00583	744	Acetyltransferase (GNAT) family
PF00584	79	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	158	C-terminal regulatory domain of Threonine dehydratase
PF00586	320	AIR synthase related protein, N-terminal domain
PF00587	240	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	477	SpoU rRNA Methylase family
PF00589	1577	Phage integrase family
PF00590	161	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	166	Glycosyl transferase family, a/b domain
PF00593	906	TonB dependent receptor
PF00595	397	PDZ domain (Also known as DHR or GLGF)
PF00596	477	Class II Aldolase and Adducin N-terminal domain
PF00623	158	RNA polymerase Rpb1, domain 2
PF00625	79	Guanylate kinase
PF00633	160	Helix-hairpin-helix motif
PF00639	81	PPIC-type PPIASE domain
PF00654	246	Voltage gated chloride channel
PF00656	1	Caspase domain
PF00662	167	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00664	569	ABC transporter transmembrane region
PF00665	763	Integrase core domain
PF00667	80	FAD binding domain
PF00668	242	Condensation domain
PF00669	194	Bacterial flagellin N-terminal helical region
PF00672	766	HAMP domain
PF00673	80	ribosomal L5P family C-terminus
PF00675	227	Insulinase (Peptidase family M16)
PF00676	105	Dehydrogenase E1 component
PF00677	160	Lumazine binding domain
PF00679	239	Elongation factor G C-terminus
PF00682	150	HMGL-like
PF00684	80	DnaJ central domain
PF00687	79	Ribosomal protein L1p/L10e family
PF00689	79	Cation transporting ATPase, C-terminus
PF00690	79	Cation transporter/ATPase, N-terminus
PF00691	518	OmpA family
PF00692	160	dUTPase
PF00694	239	Aconitase C-terminal domain
PF00696	847	Amino acid kinase family
PF00697	81	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	143	Acyl transferase domain
PF00699	12	Urease beta subunit
PF00700	98	Bacterial flagellin C-terminal helical region
PF00701	251	Dihydrodipicolinate synthetase family
PF00702	335	haloacid dehalogenase-like hydrolase
PF00703	236	Glycosyl hydrolases family 2
PF00704	1	Glycosyl hydrolases family 18
PF00707	78	Translation initiation factor IF-3, C-terminal domain
PF00708	159	Acylphosphatase
PF00709	80	Adenylosuccinate synthetase
PF00710	162	Asparaginase, N-terminal
PF00712	80	DNA polymerase III beta subunit, N-terminal domain
PF00717	496	Peptidase S24-like
PF00719	80	Inorganic pyrophosphatase
PF00723	33	Glycosyl hydrolases family 15
PF00724	201	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	399	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00730	241	HhH-GPD superfamily base excision DNA repair protein
PF00731	80	AIR carboxylase
PF00732	77	GMC oxidoreductase
PF00733	81	Asparagine synthase
PF00742	161	Homoserine dehydrogenase
PF00743	1	Flavin-binding monooxygenase-like
PF00745	80	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00749	242	tRNA synthetases class I (E and Q), catalytic domain
PF00750	80	tRNA synthetases class I (R)
PF00753	443	Metallo-beta-lactamase superfamily
PF00756	356	Putative esterase
PF00762	80	Ferrochelatase
PF00763	80	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	81	Arginosuccinate synthase
PF00766	233	Electron transfer flavoprotein FAD-binding domain
PF00768	317	D-alanyl-D-alanine carboxypeptidase
PF00771	186	FHIPEP family
PF00772	132	DnaB-like helicase N terminal domain
PF00773	161	RNB domain
PF00777	2	Glycosyltransferase family 29 (sialyltransferase)
PF00781	79	Diacylglycerol kinase catalytic domain
PF00782	67	Dual specificity phosphatase, catalytic domain
PF00793	330	DAHP synthetase I family
PF00795	319	Carbon-nitrogen hydrolase
PF00797	75	N-acetyltransferase
PF00800	80	Prephenate dehydratase
PF00805	160	Pentapeptide repeats (8 copies)
PF00809	201	Pterin binding enzyme
PF00813	155	FliP family
PF00814	161	Glycoprotease family
PF00815	80	Histidinol dehydrogenase
PF00816	212	H-NS histone family
PF00817	185	impB/mucB/samB family
PF00825	80	Ribonuclease P
PF00828	80	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	81	Ribosomal prokaryotic L21 protein
PF00830	80	Ribosomal L28 family
PF00831	80	Ribosomal L29 protein
PF00834	154	Ribulose-phosphate 3 epimerase family
PF00842	159	Alanine racemase, C-terminal domain
PF00847	5	AP2 domain
PF00848	106	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	631	RNA pseudouridylate synthase
PF00854	315	POT family
PF00857	432	Isochorismatase family
PF00860	799	Permease family
PF00861	80	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00866	56	Ring hydroxylating beta subunit
PF00871	168	Acetokinase family
PF00872	30	Transposase, Mutator family
PF00873	590	AcrB/AcrD/AcrF family
PF00874	368	PRD domain
PF00875	81	DNA photolyase
PF00877	603	NlpC/P60 family
PF00881	325	Nitroreductase family
PF00883	160	Cytosol aminopeptidase family, catalytic domain
PF00884	845	Sulfatase
PF00885	80	6,7-dimethyl-8-ribityllumazine synthase
PF00886	80	Ribosomal protein S16
PF00889	80	Elongation factor TS
PF00890	384	FAD binding domain
PF00891	14	O-methyltransferase
PF00892	1574	EamA-like transporter family
PF00893	355	Small Multidrug Resistance protein
PF00899	241	ThiF family
PF00902	80	Sec-independent protein translocase protein (TatC)
PF00903	167	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00905	406	Penicillin binding protein transpeptidase domain
PF00908	38	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00909	80	Ammonium Transporter Family
PF00912	318	Transglycosylase
PF00916	82	Sulfate permease family
PF00919	161	Uncharacterized protein family UPF0004
PF00920	179	Dehydratase family
PF00923	320	Transaldolase/Fructose-6-phosphate aldolase
PF00924	482	Mechanosensitive ion channel
PF00925	80	GTP cyclohydrolase II
PF00926	81	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00929	416	Exonuclease
PF00931	1	NB-ARC domain
PF00933	160	Glycosyl hydrolase family 3 N terminal domain
PF00936	530	BMC domain
PF00939	289	Sodium:sulfate symporter transmembrane region
PF00941	201	FAD binding domain in molybdopterin dehydrogenase
PF00950	220	ABC 3 transport family
PF00953	159	Glycosyl transferase family 4
PF00958	80	GMP synthase C terminal domain
PF00959	411	Phage lysozyme
PF00962	80	Adenosine/AMP deaminase
PF00970	408	Oxidoreductase FAD-binding domain
PF00975	169	Thioesterase domain
PF00977	161	Histidine biosynthesis protein
PF00982	80	Glycosyltransferase family 20
PF00984	166	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00986	160	DNA gyrase B subunit, carboxyl terminus
PF00988	80	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00989	553	PAS fold
PF00990	1296	Diguanylate cyclase, GGDEF domain
PF00994	321	Probable molybdopterin binding domain
PF00999	421	Sodium/hydrogen exchanger family
PF01000	80	RNA polymerase Rpb3/RpoA insert domain
PF01008	18	Initiation factor 2 subunit family
PF01011	477	PQQ enzyme repeat
PF01012	449	Electron transfer flavoprotein domain
PF01016	81	Ribosomal L27 protein
PF01018	81	GTP1/OBG
PF01019	86	Gamma-glutamyltranspeptidase
PF01022	143	Bacterial regulatory protein, arsR family
PF01024	14	Colicin pore forming domain
PF01025	80	GrpE
PF01026	242	TatD related DNase
PF01027	251	Inhibitor of apoptosis-promoting Bax1
PF01029	160	NusB family
PF01032	658	FecCD transport family
PF01035	238	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01037	241	Lrp/AsnC ligand binding domain
PF01039	80	Carboxyl transferase domain
PF01040	240	UbiA prenyltransferase family
PF01041	180	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042	388	Endoribonuclease L-PSP
PF01043	79	SecA preprotein cross-linking domain
PF01047	434	MarR family
PF01048	380	Phosphorylase superfamily
PF01050	105	Mannose-6-phosphate isomerase
PF01051	105	Initiator Replication protein
PF01052	226	Type III flagellar switch regulator (C-ring) FliN C-term
PF01053	164	Cys/Met metabolism PLP-dependent enzyme
PF01055	139	Glycosyl hydrolases family 31
PF01058	363	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01061	125	ABC-2 type transporter
PF01062	78	Bestrophin, RFP-TM, chloride channel
PF01063	158	Amino-transferase class IV
PF01066	224	CDP-alcohol phosphatidyltransferase
PF01068	2	ATP dependent DNA ligase domain
PF01070	86	FMN-dependent dehydrogenase
PF01071	79	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01074	54	Glycosyl hydrolases family 38 N-terminal domain
PF01075	319	Glycosyltransferase family 9 (heptosyltransferase)
PF01077	241	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	74	Magnesium chelatase, subunit ChlI
PF01081	180	KDPG and KHG aldolase
PF01084	81	Ribosomal protein S18
PF01087	81	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01095	80	Pectinesterase
PF01098	159	Cell cycle protein
PF01103	160	Surface antigen
PF01106	80	NifU-like domain
PF01112	86	Asparaginase
PF01113	80	Dihydrodipicolinate reductase, N-terminus
PF01116	452	Fructose-bisphosphate aldolase class-II
PF01118	311	Semialdehyde dehydrogenase, NAD binding domain
PF01119	81	DNA mismatch repair protein, C-terminal domain
PF01121	80	Dephospho-CoA kinase
PF01124	80	MAPEG family
PF01127	162	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	83	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01131	183	DNA topoisomerase
PF01132	161	Elongation factor P (EF-P) OB domain
PF01134	80	Glucose inhibited division protein A
PF01135	79	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	321	Peptidase family U32
PF01137	80	RNA 3'-terminal phosphate cyclase
PF01138	242	3' exoribonuclease family, domain 1
PF01139	174	tRNA-splicing ligase RtcB
PF01142	160	tRNA pseudouridine synthase D (TruD)
PF01144	253	Coenzyme A transferase
PF01145	390	SPFH domain / Band 7 family
PF01148	141	Cytidylyltransferase family
PF01149	158	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01155	162	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
PF01156	244	Inosine-uridine preferring nucleoside hydrolase
PF01161	134	Phosphatidylethanolamine-binding protein
PF01163	2	RIO1 family
PF01165	81	Ribosomal protein S21
PF01168	312	Alanine racemase, N-terminal domain
PF01170	79	Putative RNA methylase family UPF0020
PF01171	159	PP-loop family
PF01175	3	Urocanase Rossmann-like domain
PF01176	81	Translation initiation factor 1A / IF-1
PF01177	171	Asp/Glu/Hydantoin racemase
PF01179	36	Copper amine oxidase, enzyme domain
PF01180	159	Dihydroorotate dehydrogenase
PF01182	217	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	77	Glycosyl hydrolases family 25
PF01184	80	GPR1/FUN34/yaaH family
PF01189	160	16S rRNA methyltransferase RsmB/F
PF01192	80	RNA polymerase Rpb6
PF01193	80	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01195	80	Peptidyl-tRNA hydrolase
PF01196	80	Ribosomal protein L17
PF01197	171	Ribosomal protein L31
PF01202	271	Shikimate kinase
PF01204	229	Trehalase
PF01205	80	Uncharacterized protein family UPF0029
PF01206	217	Sulfurtransferase TusA
PF01207	242	Dihydrouridine synthase (Dus)
PF01208	79	Uroporphyrinogen decarboxylase (URO-D)
PF01209	80	ubiE/COQ5 methyltransferase family
PF01210	80	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	159	Beta-eliminating lyase
PF01218	80	Coproporphyrinogen III oxidase
PF01219	92	Prokaryotic diacylglycerol kinase
PF01225	320	Mur ligase family, catalytic domain
PF01226	259	Formate/nitrite transporter
PF01227	80	GTP cyclohydrolase I
PF01228	365	Glycine radical
PF01230	79	HIT domain
PF01232	431	Mannitol dehydrogenase Rossmann domain
PF01235	79	Sodium:alanine symporter family
PF01238	80	Phosphomannose isomerase type I
PF01242	82	6-pyruvoyl tetrahydropterin synthase
PF01243	81	Pyridoxamine 5'-phosphate oxidase
PF01245	80	Ribosomal protein L19
PF01250	80	Ribosomal protein S6
PF01252	80	Signal peptidase (SPase) II
PF01253	80	Translation initiation factor SUI1
PF01255	80	Putative undecaprenyl diphosphate synthase
PF01256	81	Carbohydrate kinase
PF01257	79	Thioredoxin-like [2Fe-2S] ferredoxin
PF01258	340	Prokaryotic dksA/traR C4-type zinc finger
PF01259	80	SAICAR synthetase
PF01261	613	Xylose isomerase-like TIM barrel
PF01262	80	Alanine dehydrogenase/PNT, C-terminal domain
PF01263	320	Aldose 1-epimerase
PF01264	79	Chorismate synthase
PF01266	535	FAD dependent oxidoreductase
PF01270	79	Glycosyl hydrolases family 8
PF01272	242	Transcription elongation factor, GreA/GreB, C-term
PF01274	148	Malate synthase
PF01276	395	Orn/Lys/Arg decarboxylase, major domain
PF01278	62	Omptin family
PF01281	81	Ribosomal protein L9, N-terminal domain
PF01288	80	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01292	522	Prokaryotic cytochrome b561
PF01293	80	Phosphoenolpyruvate carboxykinase
PF01295	80	Adenylate cyclase, class-I
PF01297	121	Zinc-uptake complex component A periplasmic
PF01300	239	Telomere recombination
PF01306	123	LacY proton/sugar symporter
PF01311	147	Bacterial export proteins, family 1
PF01312	175	FlhB HrpN YscU SpaS Family
PF01313	156	Bacterial export proteins, family 3
PF01314	78	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF01315	200	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF01316	101	Arginine repressor, DNA binding domain
PF01320	84	Colicin immunity protein / pyocin immunity protein
PF01321	77	Creatinase/Prolidase N-terminal domain
PF01323	124	DSBA-like thioredoxin domain
PF01325	81	Iron dependent repressor, N-terminal DNA binding domain
PF01326	79	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01327	81	Polypeptide deformylase
PF01330	80	RuvA N terminal domain
PF01336	397	OB-fold nucleic acid binding domain
PF01337	79	Barstar (barnase inhibitor)
PF01339	79	CheB methylesterase
PF01340	82	Met Apo-repressor, MetJ
PF01343	405	Peptidase family S49
PF01344	71	Kelch motif
PF01346	160	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
PF01348	3	Type II intron maturase
PF01351	80	Ribonuclease HII
PF01361	52	Tautomerase enzyme
PF01367	160	5'-3' exonuclease, C-terminal SAM fold
PF01368	80	DHH family
PF01370	604	NAD dependent epimerase/dehydratase family
PF01371	80	Trp repressor protein
PF01375	3	Heat-labile enterotoxin alpha chain
PF01376	3	Heat-labile enterotoxin beta chain
PF01379	80	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01380	1049	SIS domain
PF01381	1247	Helix-turn-helix
PF01384	155	Phosphate transporter family
PF01385	149	Probable transposase
PF01386	80	Ribosomal L25p family
PF01389	80	OmpA-like transmembrane domain
PF01391	300	Collagen triple helix repeat (20 copies)
PF01396	489	Topoisomerase DNA binding C4 zinc finger
PF01402	266	Ribbon-helix-helix protein, copG family
PF01406	80	tRNA synthetases class I (C) catalytic domain
PF01408	454	Oxidoreductase family, NAD-binding Rossmann fold
PF01409	80	tRNA synthetases class II core domain (F)
PF01411	76	tRNA synthetases class II (A)
PF01416	160	tRNA pseudouridine synthase
